game_date,game_status_text,points_home,points_away,home_team_wins,city_home,nickname_home,city_away,nickname_away
2020-12-19,Final,120,117,1,Orlando,Magic,Charlotte,Hornets
2020-12-17,Final,115,123,0,Orlando,Magic,Charlotte,Hornets
2014-03-28,Final,110,105,1,Orlando,Magic,Charlotte,Hornets
2014-01-17,Final,101,111,0,Orlando,Magic,Charlotte,Hornets
2013-02-19,Final,92,105,0,Orlando,Magic,Charlotte,Hornets
2013-01-18,Final,100,106,0,Orlando,Magic,Charlotte,Hornets
2012-04-25,Final,102,95,1,Orlando,Magic,Charlotte,Hornets
2012-01-17,Final,96,89,1,Orlando,Magic,Charlotte,Hornets
2011-04-01,Final,89,77,1,Orlando,Magic,Charlotte,Hornets
2011-02-27,Final,100,86,1,Orlando,Magic,Charlotte,Hornets
2010-10-14,Final,86,73,1,Orlando,Magic,Charlotte,Hornets
2010-04-21,Final,92,77,1,Orlando,Magic,Charlotte,Hornets
2010-04-18,Final,98,89,1,Orlando,Magic,Charlotte,Hornets
2010-03-14,Final,89,96,0,Orlando,Magic,Charlotte,Hornets
2009-11-16,Final,97,91,1,Orlando,Magic,Charlotte,Hornets
2009-04-15,Final,98,73,1,Orlando,Magic,Charlotte,Hornets
2009-02-17,Final,107,102,1,Orlando,Magic,Charlotte,Hornets
2008-10-08,Final,118,80,1,Orlando,Magic,Charlotte,Hornets
2007-12-29,Final,104,95,1,Orlando,Magic,Charlotte,Hornets
2007-11-23,Final,105,92,1,Orlando,Magic,Charlotte,Hornets
2007-10-10,Final,123,99,1,Orlando,Magic,Charlotte,Hornets
2007-01-05,Final,106,74,1,Orlando,Magic,Charlotte,Hornets
2006-11-18,Final,97,83,1,Orlando,Magic,Charlotte,Hornets
2006-01-07,Final,108,92,1,Orlando,Magic,Charlotte,Hornets
2005-11-15,Final,85,77,1,Orlando,Magic,Charlotte,Hornets
2005-03-24,Final,94,108,0,Orlando,Magic,Charlotte,Hornets
2005-01-07,Final,111,91,1,Orlando,Magic,Charlotte,Hornets
2019-02-14,Final,127,89,1,Orlando,Magic,Charlotte,Hornets
2018-10-19,Final,88,120,0,Orlando,Magic,Charlotte,Hornets
2018-04-06,Final,100,137,0,Orlando,Magic,Charlotte,Hornets
2018-02-14,Final,102,104,0,Orlando,Magic,Charlotte,Hornets
2017-03-22,Final,102,109,0,Orlando,Magic,Charlotte,Hornets
2016-12-28,Final,101,120,0,Orlando,Magic,Charlotte,Hornets
2016-01-22,Final,116,120,0,Orlando,Magic,Charlotte,Hornets
2015-12-16,Final,113,98,1,Orlando,Magic,Charlotte,Hornets
2015-10-03,Final,100,106,0,Orlando,Magic,Charlotte,Hornets
2015-03-01,Final,83,98,0,Orlando,Magic,Charlotte,Hornets
2015-01-03,Final,90,98,0,Orlando,Magic,Charlotte,Hornets
2020-01-30,Final,121,107,1,Washington,Wizards,Charlotte,Hornets
2014-04-09,Final,88,94,0,Washington,Wizards,Charlotte,Hornets
2014-03-12,Final,85,98,0,Washington,Wizards,Charlotte,Hornets
2013-03-09,Final,104,87,1,Washington,Wizards,Charlotte,Hornets
2012-11-24,Final,106,108,0,Washington,Wizards,Charlotte,Hornets
2012-04-23,Final,101,73,1,Washington,Wizards,Charlotte,Hornets
2012-01-25,Final,92,75,1,Washington,Wizards,Charlotte,Hornets
2010-12-20,Final,108,75,1,Washington,Wizards,Charlotte,Hornets
2010-11-12,Final,85,93,0,Washington,Wizards,Charlotte,Hornets
2010-03-23,Final,86,95,0,Washington,Wizards,Charlotte,Hornets
2009-11-28,Final,76,92,0,Washington,Wizards,Charlotte,Hornets
2009-03-25,Final,95,93,1,Washington,Wizards,Charlotte,Hornets
2009-01-10,Final,89,92,0,Washington,Wizards,Charlotte,Hornets
2008-03-08,Final,97,100,0,Washington,Wizards,Charlotte,Hornets
2008-02-23,Final,110,95,1,Washington,Wizards,Charlotte,Hornets
2007-04-04,Final,100,108,0,Washington,Wizards,Charlotte,Hornets
2006-12-01,Final,121,109,1,Washington,Wizards,Charlotte,Hornets
2006-03-15,Final,107,99,1,Washington,Wizards,Charlotte,Hornets
2006-01-28,Final,107,97,1,Washington,Wizards,Charlotte,Hornets
2005-10-20,Final,96,89,1,Washington,Wizards,Charlotte,Hornets
2005-04-17,Final,106,104,1,Washington,Wizards,Charlotte,Hornets
2004-12-27,Final,106,87,1,Washington,Wizards,Charlotte,Hornets
2004-10-24,Final,97,85,1,Washington,Wizards,Charlotte,Hornets
2019-11-22,Final,125,118,1,Washington,Wizards,Charlotte,Hornets
2019-03-15,Final,110,116,0,Washington,Wizards,Charlotte,Hornets
2018-12-29,Final,130,126,1,Washington,Wizards,Charlotte,Hornets
2018-03-31,Final,107,93,1,Washington,Wizards,Charlotte,Hornets
2018-02-23,Final,105,122,0,Washington,Wizards,Charlotte,Hornets
2017-04-04,Final,118,111,1,Washington,Wizards,Charlotte,Hornets
2016-12-14,Final,109,106,1,Washington,Wizards,Charlotte,Hornets
2016-04-10,Final,113,98,1,Washington,Wizards,Charlotte,Hornets
2015-12-19,Final,109,101,1,Washington,Wizards,Charlotte,Hornets
2015-03-27,Final,110,107,1,Washington,Wizards,Charlotte,Hornets
2015-02-02,Final,88,92,0,Washington,Wizards,Charlotte,Hornets
2014-10-17,Final,86,96,0,Washington,Wizards,Charlotte,Hornets
2019-12-29,Final,117,104,1,Memphis,Grizzlies,Charlotte,Hornets
2014-03-08,Final,111,89,1,Memphis,Grizzlies,Charlotte,Hornets
2013-04-09,Final,94,75,1,Memphis,Grizzlies,Charlotte,Hornets
2010-12-15,Final,113,80,1,Memphis,Grizzlies,Charlotte,Hornets
2010-02-26,Final,89,93,0,Memphis,Grizzlies,Charlotte,Hornets
2008-12-19,Final,83,112,0,Memphis,Grizzlies,Charlotte,Hornets
2008-10-10,Final,92,79,1,Memphis,Grizzlies,Charlotte,Hornets
2008-03-17,Final,98,80,1,Memphis,Grizzlies,Charlotte,Hornets
2006-11-03,Final,96,83,1,Memphis,Grizzlies,Charlotte,Hornets
2006-03-26,Final,102,95,1,Memphis,Grizzlies,Charlotte,Hornets
2005-04-10,Final,102,95,1,Memphis,Grizzlies,Charlotte,Hornets
